"article_id","model_id","main_crop","country","year_assessment_start","year_assessment_end","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","y_metric_recla","x_metric_raw","x_metric_recla","x_metric_unit_raw","x_metric_unit_recla","x_data_type","transformation_coefficient","transformation_coefficient_num","transformation_variance","transformation_variance_num","x_mean_value","x_mean_value_num","model_analysis_raw","m_model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","variance_ci_l","variance_ci_l_num","variance_ci_u","variance_ci_u_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","limitation_of_use_obs","m_exact_variance_value","m_random_sample","m_mean_farm_size_ha","sampling_unit","type_data","m_endogeneity_correction","m_exposure_correction","m_intervention_system_components","factor_metric","m_intervention_recla2","coefficient_variance_type","model_coefficient_variance_type","t_value_pcc","b_logOR","se_logOR","m_region","m_sub_region","Developed_Developing","m_education_years","m_sampling_unit","m_type_data","m_av_year_assessment"
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Landholding (ha)","farm size","ha","ha","continuous","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",0.1,0.1,"SE","7.0000000000000001E-3",0.007,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","farm size (ha)","Combined systems","B_SE","probit_B_SE",14.2857142857143,0.16,0.0112,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","percentage of owned land","continuous","none",NA,NA,NA,"nd",NA,"correlated random effects probit model","probit","B",0.00127,0.00127,"SE","0",1e-04,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","land tenure security (percentage of owned land)","Combined systems","B_SE","probit_B_SE",12.7,0.002032,0.00016,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","TLU w/o cattle","units of livestock","TLU","TLU","continuous","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",-0.014,-0.014,"SE","1.0999999999999999E-2",0.011,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","units of livestock (TLU)","Combined systems","B_SE","probit_B_SE",-1.27272727272727,-0.0224,0.0176,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Km from the homestead to the nearest feeder road","distance to road","km","km","continuous","none",NA,NA,NA,"nd",NA,"correlated random effects probit model","probit","B",0.00192,0.00192,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","distance to road (km)","Combined systems","B_SE","probit_B_SE",0.96,0.003072,0.0032,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","mm/year","continuous","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",0.000858,0.000858,"SE","1E-3",0.001,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","precipitation (mm/year)","Combined systems","B_SE","probit_B_SE",0.858,0.0013728,0.0016,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Female-headed HH (=1)","hh gender","1= female, 0= male","1= male, 0= female","categorical (binary)","-1",-1,"1",1,"nd",NA,"correlated random effects probit model","probit","B",0.00102,0.00102,"SE","3.5999999999999997E-2",0.036,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","hh gender (1= male, 0= female)","Combined systems","B_SE","probit_B_SE",-0.0283333333333333,-0.001632,0.0576,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Age of household head","hh age","years","years","continuous","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",0.00291,0.00291,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","hh age (years)","Combined systems","B_SE","probit_B_SE",1.455,0.004656,0.0032,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","hh education: Secondary (grades 8-12) (=1)","hh education","1= Secondary (grades 8-12), 0= otherwise","1= high school education, 0= otherwise","categorical (binary)","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",0.0245,0.0245,"SE","3.9E-2",0.039,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","hh education (1= high school education, 0= otherwise)","Combined systems","B_SE","probit_B_SE",0.628205128205128,0.0392,0.0624,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","hh education: Post-secondary (=1)","hh education","1= Post-secondary, 0= otherwise","1= post-secondary education, 0= otherwise","categorical (binary)","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",0.125,0.125,"SE","9.5000000000000001E-2",0.095,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","hh education (1= post-secondary education, 0= otherwise)","Combined systems","B_SE","probit_B_SE",1.31578947368421,0.2,0.152,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
"21","7","Maize","Zambia",2004,2008,"land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Number of FTE prime age adults (age 15 to 59)","h adult members","number of adults (15 years to 59)","number of people","continuous","none",NA,"none",NA,"nd",NA,"correlated random effects probit model","probit","B",-0.0165,-0.0165,"SE","6.0000000000000001E-3",0.006,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation",1,0,"0.55100000000000005","household","secondary data",1,1,"only crops","h adult members (number of people)","Combined systems","B_SE","probit_B_SE",-2.75,-0.0264,0.0096,"Africa","Eastern Africa","Developing regions",NA,1,0,2006
