"article_id","model_id","main_crop","country","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","y_metric_recla","x_metric_raw","x_metric_recla","x_metric_unit_raw","x_metric_unit_recla","x_data_type","transformation_coefficient","transformation_variance_num","model_analysis_raw","m_model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","variance_ci_l","variance_ci_l_num","variance_ci_u","variance_ci_u_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","limitation_of_use_obs","factor_metric","coefficient_variance_type","model_coefficient_variance_type","t_value_pcc","b_logOR","se_logOR","m_region","m_sub_region","Developed_Developing","m_intervention_recla2","m_exact_variance_value","m_random_sample","m_mean_farm_size_ha","m_sampling_unit","m_type_data","m_av_year_assessment","factor_sub_class.x","x_metric_recla2","pcc_unit","logor_unit","n_articles","pcc","logor","pcc_factor_unit","ES_ID","yi","vi","factor_sub_class.y","AIC.three_level","AIC.within","AIC.between","LRT.pval.within","LRT.pval.between","best_model"
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Landholding (ha)","farm size","ha","ha","continuous","none",NA,"correlated random effects probit model","probit","B",0.1,0.1,"SE","7.0000000000000001E-3",0.007,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation","farm size (ha)","B_SE","probit_B_SE",14.2857142857143,0.16,0.0112,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",1,0.158699973019499,0.00012028645008565,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","TLU w/o cattle","units of livestock","TLU","TLU","continuous","none",NA,"correlated random effects probit model","probit","B",-0.014,-0.014,"SE","1.0999999999999999E-2",0.011,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"no limitation","units of livestock (TLU)","B_SE","probit_B_SE",-1.27272727272727,-0.0224,0.0176,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Physical capital","Livestock units","continuous","TLU",17,1,"1","Livestock units (continuous)",3,-0.0143187388434891,0.000126530378414132,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
21,7,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Number of FTE prime age adults (age 15 to 59)","h adult members","number of adults (15 years to 59)","number of people","continuous","none",NA,"correlated random effects probit model","probit","B",-0.0165,-0.0165,"SE","6.0000000000000001E-3",0.006,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"no limitation","h adult members (number of people)","B_SE","probit_B_SE",-2.75,-0.0264,0.0096,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.55100000000000005",1,0,2006,"Social capital","Adults in household","continuous","number of people",15,1,"1","Adults in household (continuous)",10,-0.0309270744403891,0.000126340246455017,"Social capital",1.054,167.3487,7.8341,"LRT = 168.2946, p < 0.0001","LRT = 8.7801, p = 0.003","Three-level"
21,10,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Landholding (ha)","farm size","ha","ha","continuous","none",NA,"correlated random effects probit model","probit","B",0.102,0.102,"SE","5.0000000000000001E-3",0.005,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",30,30,14100,14100,"no limitation","farm size (ha)","B_SE","probit_B_SE",20.4,0.1632,0.008,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.503",1,0,2014,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",11,0.169499538110722,6.70479908620051e-05,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
21,10,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","TLU w/o cattle","units of livestock","TLU","TLU","continuous","none",NA,"correlated random effects probit model","probit","B",-0.00722,-0.00722,"SE","8.0000000000000002E-3",0.008,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,14100,14100,"no limitation","units of livestock (TLU)","B_SE","probit_B_SE",-0.9025,-0.011552,0.0128,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.503",1,0,2014,"Physical capital","Livestock units","continuous","TLU",17,1,"1","Livestock units (continuous)",13,-0.00760856972184347,7.10649767366643e-05,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
21,10,"Maize","Zambia","land with temporary fallow and cover crops",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","Number of FTE prime age adults (age 15 to 59)","h adult members","number of adults (15 years to 59)","number of people","continuous","none",NA,"correlated random effects probit model","probit","B",-0.0136,-0.0136,"SE","7.0000000000000001E-3",0.007,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",30,30,14100,14100,"no limitation","h adult members (number of people)","B_SE","probit_B_SE",-1.94285714285714,-0.02176,0.0112,"Africa","Eastern Africa","Developing regions","Combined systems",1,0,"0.503",1,0,2014,"Social capital","Adults in household","continuous","number of people",15,1,"1","Adults in household (continuous)",21,-0.0163776279500148,7.10350830526669e-05,"Social capital",1.054,167.3487,7.8341,"LRT = 168.2946, p < 0.0001","LRT = 8.7801, p = 0.003","Three-level"
35,1,"Cereals","Nepal","agroforestry","woodlot",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"multinomial logit model","logit","B",-0.618,-0.618,"P","4.1000000000000002E-2",0.041,"na",NA,"na",NA,"nd",NA,"4.1000000000000002E-2",0.041,"nd",16,16,210,210,"no limitation","h size (number of people)","B_P","logit_B_P",-2.04353000743986,-0.618,0.302417873850667,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"49.05",1,1,2014,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",25,-0.145530485065603,0.00493860985074931,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
35,1,"Cereals","Nepal","agroforestry","woodlot",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Landholding size","farm size","ktha (30 ktha=1ha)","ha","continuous","3.3333333333333333E-2",0.0333333333333333,"multinomial logit model","logit","B",0.123,0.123,"P","1E-4",1e-04,"na",NA,"na",NA,"nd",NA,"1E-4",1e-04,"nd",16,16,210,210,"no limitation","farm size (ha)","B_P","logit_B_P",3.89059188641309,0.0041,0.00105382423027155,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"49.05",1,1,2014,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",27,0.269675404627563,0.00443216109424505,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
35,1,"Cereals","Nepal","agroforestry","woodlot",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Livestock herd size","units of livestock","LSU","LSU","continuous","none",NA,"multinomial logit model","logit","B",0.555,0.555,"P","3.0000000000000001E-3",0.003,"na",NA,"na",NA,"nd",NA,"3.0000000000000001E-3",0.003,"nd",16,16,210,210,"no limitation","units of livestock (LSU)","B_P","logit_B_P",2.96773792534178,0.555,0.187011122262786,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"49.05",1,1,2014,"Physical capital","Livestock units","continuous",NA,1,1,"-","Livestock units (continuous)",28,0.20890889383064,0.00471453017082428,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
35,1,"Cereals","Nepal","agroforestry","woodlot",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"multinomial logit model","logit","B",0.217,0.217,"P","3.7999999999999999E-2",0.038,"na",NA,"na",NA,"nd",NA,"3.7999999999999999E-2",0.038,"nd",16,16,210,210,"no limitation","hh association member (1= yes, 0= no)","B_P","logit_B_P",2.07485473439331,0.217,0.104585635034084,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"49.05",1,1,2014,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",31,0.147712968564823,0.00493215377257905,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
